Country,location,west_lon,east_lon,north_lat,south_lat
Norway,NOR1_AWEonshore,7.5,7.75,60.25,60
Norway,NOR2_AWEonshore,10.25,10.5,62.75,62.5
Norway,NOR3_AWEonshore,14.25,14.5,65.5,65.25
Norway,NOR4_AWEonshore,25.75,26,70.25,70
Norway,NOR5_AWEonshore,22.5,22.75,69.75,69.5
Sweden,SWE1_AWEonshore,13,13.25,58.25,58
Sweden,SWE2_AWEonshore,15.5,15.75,58.5,58.25
Sweden,SWE3_AWEonshore,19.5,19.75,64.5,64.25
Sweden,SWE4_AWEonshore,13.25,13.5,63.25,63
Sweden,SWE5_AWEonshore,16.25,16.5,60.5,60.25
Denmark,DEN1_AWEonshore,9,9.25,55.25,55
Denmark,DEN2_AWEonshore,8.5,8.75,56.25,56
Denmark,DEN3_AWEonshore,10.5,10.75,56.5,56.25
Denmark,DEN4_AWEonshore,11.25,11.5,55,54.75
Denmark,DEN5_AWEonshore,10.5,10.75,55.25,55
Germany,GER1_AWEonshore,12.75,13,53.5,53.25
Germany,GER2_AWEonshore,11,11.25,52.25,52
Germany,GER3_AWEonshore,8,8.25,53,52.75
Germany,GER4_AWEonshore,10.5,10.75,51.5,51.25
Germany,GER5_AWEonshore,9.25,9.5,54.5,54.25
Netherlands,NED1_AWEonshore,3.75,4,51.75,51.5
Netherlands,NED2_AWEonshore,4.75,5,52.25,52
Netherlands,NED3_AWEonshore,5.5,5.75,53.25,53
Netherlands,NED4_AWEonshore,5.75,6,52.75,52.5
Netherlands,NED5_AWEonshore,6.75,7,53.25,53
Belgium,BEL1_AWEonshore,2.75,3,50.75,51
Belgium,BEL2_AWEonshore,3.5,3.75,50.75,50.5
Belgium,BEL3_AWEonshore,4.75,5,50.75,50.5
Belgium,BEL4_AWEonshore,4.25,4.5,50.25,50
Belgium,BEL5_AWEonshore,4,4.25,51.25,51
Luxembourg,LUX1_AWEonshore,6,6.25,49.75,49.5
France,FRA1_AWEonshore,2,2.25,50.5,50.25
France,FRA2_AWEonshore,-1.25,-1,49,48.75
France,FRA3_AWEonshore,2.75,3,43.25,43
France,FRA4_AWEonshore,4.5,4.75,43.75,43.5
France,FRA5_AWEonshore,-3.5,-3.25,48.5,48.25
France,FRA6_AWEonshore,-0.5,-0.25,46.75,46.5
UK,UK1_AWEonshore,-4,-3.75,51,50.75
UK,UK2_AWEonshore,-1.75,-1.5,51.5,51.25
UK,UK3_AWEonshore,0.25,0.5,52.5,52.25
UK,UK4_AWEonshore,-4,-3.75,52.25,52
UK,UK5_AWEonshore,-0.5,-0.25,53.25,53
UK,UK6_AWEonshore,-2.75,-2.5,55.75,55.5
UK,UK7_AWEonshore,-3,-2.75,57.5,57.25
Ireland,IRE1_AWEonshore,-9,-8.75,52,51.75
Ireland,IRE2_AWEonshore,-8,-7.75,54.5,54.25
Ireland,IRE3_AWEonshore,-7.5,-7.25,53.25,53
Ireland,IRE4_AWEonshore,-7.5,-7.25,52.5,52.25
Ireland,IRE5_AWEonshore,-6.75,-6.5,53,52.75
