Country,location,west_lon,east_lon,north_lat,south_lat
Norway,NOR6_AWEshallow,5.25,5.5,59,58.75
Norway,NOR7_AWEshallow,11.75,12,65.5,65.25
Norway,NOR8_AWEshallow,16.25,16.5,69.5,69.25
Norway,NOR9_AWEshallow,20.5,20.75,70.5,70.25
Sweden,SWE6_AWEshallow,22.25,22.5,65.5,65.25
Sweden,SWE7_AWEshallow,20.5,20.75,63.75,63.5
Sweden,SWE8_AWEshallow,17.5,17.75,61,60.75
Sweden,SWE9_AWEshallow,17.25,17.5,56,55.75
Sweden,SWE10_AWEshallow,13.25,13.5,55.25,55
Denmark,DEN6_AWEshallow,7.25,7.5,56.75,56.5
Denmark,DEN7_AWEshallow,7.25,7.5,55.75,55.5
Denmark,DEN8_AWEshallow,11.25,11.5,56.5,56.25
Denmark,DEN9_AWEshallow,12.25,12.5,54.75,54.5
Germany,GER6_AWEshallow,7.25,7.5,55,54.75
Germany,GER7_AWEshallow,6.75,7,54,53.75
Germany,GER8_AWEshallow,11.5,11.75,54.5,54.25
Germany,GER9_AWEshallow,14,14.25,55,54.75
Netherlands,NED6_AWEshallow,3.25,3.5,52,51.75
Netherlands,NED7_AWEshallow,3.75,4,53,52.75
Netherlands,NED8_AWEshallow,4,4.25,54.5,54.25
Netherlands,NED9_AWEshallow,5.75,6,54,53.75
Belgium,BEL4_AWEshallow,2.5,2.75,51.75,51.5
Belgium,BEL5_AWEshallow,2.75,3,51.5,51.25
France,FRA6_AWEshallow,0.5,0.75,50.25,50
France,FRA7_AWEshallow,-2.5,-2.25,49,48.75
France,FRA8_AWEshallow,-2.75,-2.5,47.25,47
France,FRA9_AWEshallow,-2,-1.75,46,45.75
France,FRA10_AWEshallow,4,4.25,43.5,43.25
UK,UK6_AWEshallow,-4,-3.75,53.75,53.5
UK,UK7_AWEshallow,-4.75,-4.5,51.5,51.25
UK,UK8_AWEshallow,1.75,2,52,51.75
UK,UK9_AWEshallow,1.5,1.75,53.75,53.5
UK,UK10_AWEshallow,-3.25,-3,58,57.75
Ireland,IRE6_AWEshallow,-9,-8.75,54.5,54.25
Ireland,IRE7_AWEshallow,-7.5,-7.25,55.75,55.5
Ireland,IRE8_AWEshallow,-7.5,-7.25,52,51.75
Ireland,IRE9_AWEshallow,-6,-5.75,54,53.75
