Country,location,west_lon,east_lon,north_lat,south_lat
Norway,NOR6_AWEdeep,5.25,5.5,58.25,58
Norway,NOR7_AWEdeep,3.25,3.5,62.25,62
Norway,NOR8_AWEdeep,9.75,10,67,66.75
Norway,NOR9_AWEdeep,26,26.25,72.5,72.25
Norway,NOR10_AWEdeep,17,17.25,71.5,71.25
Sweden,SWE6_AWEdeep,10.5,10.75,58.5,58.25
Sweden,SWE7_AWEdeep,18,18.25,58.25,58
Sweden,SWE8_AWEdeep,19,19.25,62.25,62.5
Sweden,SWE9_AWEdeep,22.5,22.75,65,64.75
Denmark,DEN6_AWEdeep,15.5,15.75,55.5,55.25
Denmark,DEN7_AWEdeep,10,10.25,58.25,58
Denmark,DEN8_AWEdeep,5.5,5.75,56.5,56.25
France,FRA6_AWEdeep,-1.5,-1.25,50,49.75
France,FRA7_AWEdeep,-5,-4.75,49,48.75
France,FRA8_AWEdeep,-4.75,-4.5,47.25,47
France,FRA9_AWEdeep,-3.5,-3.25,46,45.75
France,FRA10_AWEdeep,4.5,4.75,43,42.75
UK,UK6_AWEdeep,-6,-5.75,49.5,49.25
UK,UK7_AWEdeep,0.5,0.75,55.25,55
UK,UK8_AWEdeep,-1,-0.75,58.75,58.5
UK,UK9_AWEdeep,-4,-3.75,59,58.75
UK,UK10_AWEdeep,-8.5,-8.25,58.75,58.5
Ireland,IRE6_AWEdeep,-9.5,-9.25,55,54.75
Ireland,IRE7_AWEdeep,-11.25,-11,53,52.75
Ireland,IRE8_AWEdeep,-10.5,-10.25,51,50.75
Ireland,IRE9_AWEdeep,-7.25,-7,51.75,51.5
