Country,location,longitude,latitude
Norway,NOR6_fixed,5.25,59
Norway,NOR7_fixed,11.75,65.5
Norway,NOR8_fixed,16.25,69.5
Norway,NOR9_fixed,20.5,70.5
Sweden,SWE6_fixed,22.25,65.5
Sweden,SWE7_fixed,20.5,63.75
Sweden,SWE8_fixed,17.5,61
Sweden,SWE9_fixed,17.25,56
Sweden,SWE10_fixed,13.25,55.25
Denmark,DEN6_fixed,7.25,56.75
Denmark,DEN7_fixed,7.25,55.75
Denmark,DEN8_fixed,11.25,56.5
Denmark,DEN9_fixed,12.25,54.75
Germany,GER6_fixed,7.25,55
Germany,GER7_fixed,6.75,54
Germany,GER8_fixed,11.5,54.5
Germany,GER9_fixed,14,55
Netherlands,NED6_fixed,3.25,52
Netherlands,NED7_fixed,3.75,53
Netherlands,NED8_fixed,4,54.5
Netherlands,NED9_fixed,5.75,54
Belgium,BEL4_fixed,2.5,51.75
Belgium,BEL5_fixed,2.75,51.5
France,FRA6_fixed,0.5,50.25
France,FRA7_fixed,-2.5,49
France,FRA8_fixed,-2.75,47.25
France,FRA9_fixed,-2,46
France,FRA10_fixed,4,43.5
UK,UK6_fixed,-4,53.75
UK,UK7_fixed,-4.75,51.5
UK,UK8_fixed,1.75,52
UK,UK9_fixed,1.5,53.75
UK,UK10_fixed,-3.25,58
Ireland,IRE6_fixed,-9,54.5
Ireland,IRE7_fixed,-7.5,55.75
Ireland,IRE8_fixed,-7.5,52
Ireland,IRE9_fixed,-6,54
