Country,location,longitude,latitude
Norway,NOR6_float,5.25,58.25
Norway,NOR7_float,3.25,62.25
Norway,NOR8_float,9.75,67
Norway,NOR9_float,26,72.5
Norway,NOR10_float,17,71.5
Sweden,SWE6_float,10.5,58.5
Sweden,SWE7_float,18,58.25
Sweden,SWE8_float,19,62.25
Sweden,SWE9_float,22.5,65
Denmark,DEN6_float,15.5,55.5
Denmark,DEN7_float,10,58.25
Denmark,DEN8_float,5.5,56.5
France,FRA6_float,-1.5,50
France,FRA7_float,-5,49
France,FRA8_float,-4.75,47.25
France,FRA9_float,-3.5,46
France,FRA10_float,4.5,43
UK,UK6_float,-6,49.5
UK,UK7_float,0.5,55.25
UK,UK8_float,-1,58.75
UK,UK9_float,-4,59
UK,UK10_float,-8.5,58.75
Ireland,IRE6_float,-9.5,55
Ireland,IRE7_float,-11.25,53
Ireland,IRE8_float,-10.5,51
Ireland,IRE9_float,-7.25,51.75
