windspeed,power,capfac
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,0,0
4.1,1000,0.002
4.2,1300,0.0026
4.3,1690,0.00338
4.4,2197,0.004394
4.5,2856.1,0.0057122
4.6,3712.93,0.00742586
4.7,4826.809,0.009653618
4.8,6274.8517,0.012549703
4.9,8157.30721,0.016314614
5,10767.64552,0.021535291
5.1,14213.29208,0.028426584
5.2,18761.54555,0.037523091
5.3,24765.24012,0.04953048
5.4,32690.11696,0.065380234
5.5,43150.95439,0.086301909
5.6,45740.01166,0.091480023
5.7,48484.41236,0.096968825
5.8,51393.4771,0.102786954
5.9,54477.08572,0.108954171
6,57745.71087,0.115491422
6.1,61210.45352,0.122420907
6.2,64883.08073,0.129766161
6.3,68776.06557,0.137552131
6.4,72902.62951,0.145805259
6.5,77276.78728,0.154553575
6.6,81913.39452,0.163826789
6.7,86828.19819,0.173656396
6.8,92037.89008,0.18407578
6.9,97560.16348,0.195120327
7,103413.7733,0.206827547
7.1,109618.5997,0.219237199
7.2,116195.7157,0.232391431
7.3,123167.4586,0.246334917
7.4,130557.5061,0.261115012
7.5,138390.9565,0.276781913
7.6,146694.4139,0.293388828
7.7,155496.0787,0.310992157
7.8,164825.8434,0.329651687
7.9,174715.394,0.349430788
8,185198.3177,0.370396635
8.1,196310.2168,0.392620434
8.2,208088.8298,0.41617766
8.3,220574.1595,0.441148319
8.4,233808.6091,0.467617218
8.5,247837.1257,0.495674251
8.6,262707.3532,0.525414706
8.7,278469.7944,0.556939589
8.8,295177.9821,0.590355964
8.9,312888.661,0.625777322
9,322275.3208,0.644550642
9.1,331943.5804,0.663887161
9.2,341901.8878,0.683803776
9.3,352158.9445,0.704317889
9.4,362723.7128,0.725447426
9.5,373605.4242,0.747210848
9.6,384813.5869,0.769627174
9.7,396357.9945,0.792715989
9.8,408248.7344,0.816497469
9.9,420496.1964,0.840992393
10,424701.1584,0.849402317
10.1,428948.17,0.85789634
10.2,433237.6517,0.866475303
10.3,437570.0282,0.875140056
10.4,441945.7284,0.883891457
10.5,446365.1857,0.892730371
10.6,450828.8376,0.901657675
10.7,455337.126,0.910674252
10.8,459890.4972,0.919780994
10.9,464489.4022,0.928978804
11,469134.2962,0.938268592
11.1,473825.6392,0.947651278
11.2,478563.8956,0.957127791
11.3,483349.5345,0.966699069
11.4,488183.0299,0.97636606
11.5,500000,1
11.6,500000,1
11.7,500000,1
11.8,500000,1
11.9,500000,1
12,500000,1
12.1,500000,1
12.2,500000,1
12.3,500000,1
12.4,500000,1
12.5,500000,1
12.6,500000,1
12.7,500000,1
12.8,500000,1
12.9,500000,1
13,500000,1
13.1,500000,1
13.2,500000,1
13.3,500000,1
13.4,500000,1
13.5,500000,1
13.6,500000,1
13.7,500000,1
13.8,500000,1
13.9,500000,1
14,500000,1
14.1,500000,1
14.2,500000,1
14.3,500000,1
14.4,500000,1
14.5,500000,1
14.6,500000,1
14.7,500000,1
14.8,500000,1
14.9,500000,1
15,500000,1
15.1,500000,1
15.2,500000,1
15.3,500000,1
15.4,500000,1
15.5,500000,1
15.6,500000,1
15.7,500000,1
15.8,500000,1
15.9,500000,1
16,500000,1
16.1,500000,1
16.2,500000,1
16.3,500000,1
16.4,500000,1
16.5,500000,1
16.6,500000,1
16.7,500000,1
16.8,500000,1
16.9,500000,1
17,500000,1
17.1,500000,1
17.2,500000,1
17.3,500000,1
17.4,500000,1
17.5,500000,1
17.6,500000,1
17.7,500000,1
17.8,500000,1
17.9,500000,1
18,500000,1
18.1,500000,1
18.2,500000,1
18.3,500000,1
18.4,500000,1
18.5,500000,1
18.6,500000,1
18.7,500000,1
18.8,500000,1
18.9,500000,1
19,500000,1
19.1,500000,1
19.2,500000,1
19.3,500000,1
19.4,500000,1
19.5,500000,1
19.6,500000,1
19.7,500000,1
19.8,500000,1
19.9,500000,1
20,500000,1
20.1,500000,1
20.2,500000,1
20.3,500000,1
20.4,500000,1
20.5,500000,1
20.6,500000,1
20.7,500000,1
20.8,500000,1
20.9,500000,1
21,500000,1
21.1,500000,1
21.2,500000,1
21.3,500000,1
21.4,500000,1
21.5,500000,1
21.6,500000,1
21.7,500000,1
21.8,500000,1
21.9,500000,1
22,500000,1
22.1,500000,1
22.2,500000,1
22.3,500000,1
22.4,500000,1
22.5,500000,1
22.6,500000,1
22.7,500000,1
22.8,500000,1
22.9,500000,1
23,500000,1
23.1,500000,1
23.2,500000,1
23.3,500000,1
23.4,500000,1
23.5,500000,1
23.6,500000,1
23.7,500000,1
23.8,500000,1
23.9,500000,1
24,500000,1
24.1,500000,1
24.2,500000,1
24.3,500000,1
24.4,500000,1
24.5,500000,1
24.6,500000,1
24.7,500000,1
24.8,500000,1
24.9,500000,1
25,500000,1
25.1,500000,1
25.2,500000,1
25.3,500000,1
25.4,500000,1
25.5,500000,1
25.6,500000,1
25.7,500000,1
25.8,500000,1
25.9,500000,1
26,500000,1
26.1,500000,1
26.2,500000,1
26.3,500000,1
26.4,500000,1
26.5,500000,1
26.6,500000,1
26.7,500000,1
