windspeed,power,capfac
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,8545.1,0.00341804
3.2,17090.2,0.00683608
3.3,25635.3,0.01025412
3.4,34180.4,0.01367216
3.5,42725.5,0.0170902
3.6,51270.6,0.02050824
3.7,59815.7,0.02392628
3.8,68360.8,0.02734432
3.9,76905.9,0.03076236
4,85451,0.0341804
4.1,93835.8,0.03753432
4.2,102220.6,0.04088824
4.3,110605.4,0.04424216
4.4,118990.2,0.04759608
4.5,127375,0.05095
4.6,135759.8,0.05430392
4.7,144144.6,0.05765784
4.8,152529.4,0.06101176
4.9,160914.2,0.06436568
5,169299,0.0677196
5.1,182155,0.072862
5.2,195011,0.0780044
5.3,207867,0.0831468
5.4,220723,0.0882892
5.5,233579,0.0934316
5.6,246435,0.098574
5.7,259291,0.1037164
5.8,272147,0.1088588
5.9,285003,0.1140012
6,297859,0.1191436
6.1,316144.4,0.12645776
6.2,334429.8,0.13377192
6.3,352715.2,0.14108608
6.4,371000.6,0.14840024
6.5,389286,0.1557144
6.6,407571.4,0.16302856
6.7,425856.8,0.17034272
6.8,444142.2,0.17765688
6.9,462427.6,0.18497104
7,480713,0.1922852
7.1,505338.7,0.20213548
7.2,529964.4,0.21198576
7.3,554590.1,0.22183604
7.4,579215.8,0.23168632
7.5,603841.5,0.2415366
7.6,628467.2,0.25138688
7.7,653092.9,0.26123716
7.8,677718.6,0.27108744
7.9,702344.3,0.28093772
8,726970,0.290788
8.1,758826.1,0.30353044
8.2,790682.2,0.31627288
8.3,822538.3,0.32901532
8.4,854394.4,0.34175776
8.5,886250.5,0.3545002
8.6,918106.6,0.36724264
8.7,949962.7,0.37998508
8.8,981818.8,0.39272752
8.9,1013674.9,0.40546996
9,1045531,0.4182124
9.1,1085411.5,0.4341646
9.2,1125292,0.4501168
9.3,1165172.5,0.466069
9.4,1205053,0.4820212
9.5,1244933.5,0.4979734
9.6,1284814,0.5139256
9.7,1324694.5,0.5298778
9.8,1364575,0.54583
9.9,1404455.5,0.5617822
10,1444336,0.5777344
10.1,1488238,0.5952952
10.2,1532140,0.612856
10.3,1576042,0.6304168
10.4,1619944,0.6479776
10.5,1663846,0.6655384
10.6,1707748,0.6830992
10.7,1751650,0.70066
10.8,1795552,0.7182208
10.9,1839454,0.7357816
11,1883356,0.7533424
11.1,1926517,0.7706068
11.2,1969678,0.7878712
11.3,2012839,0.8051356
11.4,2056000,0.8224
11.5,2099161,0.8396644
11.6,2142322,0.8569288
11.7,2185483,0.8741932
11.8,2228644,0.8914576
11.9,2271805,0.908722
12,2314966,0.9259864
12.1,2333469.4,0.93338776
12.2,2351972.8,0.94078912
12.3,2370476.2,0.94819048
12.4,2388979.6,0.95559184
12.5,2407483,0.9629932
12.6,2425986.4,0.97039456
12.7,2444489.8,0.97779592
12.8,2462993.2,0.98519728
12.9,2481496.6,0.99259864
13,2500000,1
13.1,2500000,1
13.2,2500000,1
13.3,2500000,1
13.4,2500000,1
13.5,2500000,1
13.6,2500000,1
13.7,2500000,1
13.8,2500000,1
13.9,2500000,1
14,2500000,1
14.1,2500000,1
14.2,2500000,1
14.3,2500000,1
14.4,2500000,1
14.5,2500000,1
14.6,2500000,1
14.7,2500000,1
14.8,2500000,1
14.9,2500000,1
15,2500000,1
15.1,2500000,1
15.2,2500000,1
15.3,2500000,1
15.4,2500000,1
15.5,2500000,1
15.6,2500000,1
15.7,2500000,1
15.8,2500000,1
15.9,2500000,1
16,2500000,1
16.1,2500000,1
16.2,2500000,1
16.3,2500000,1
16.4,2500000,1
16.5,2500000,1
16.6,2500000,1
16.7,2500000,1
16.8,2500000,1
16.9,2500000,1
17,2500000,1
17.1,2500000,1
17.2,2500000,1
17.3,2500000,1
17.4,2500000,1
17.5,2500000,1
17.6,2500000,1
17.7,2500000,1
17.8,2500000,1
17.9,2500000,1
18,2500000,1
18.1,2500000,1
18.2,2500000,1
18.3,2500000,1
18.4,2500000,1
18.5,2500000,1
18.6,2500000,1
18.7,2500000,1
18.8,2500000,1
18.9,2500000,1
19,2500000,1
19.1,2500000,1
19.2,2500000,1
19.3,2500000,1
19.4,2500000,1
19.5,2500000,1
19.6,2500000,1
19.7,2500000,1
19.8,2500000,1
19.9,2500000,1
20,2500000,1
20.1,2500000,1
20.2,2500000,1
20.3,2500000,1
20.4,2500000,1
20.5,2500000,1
20.6,2500000,1
20.7,2500000,1
20.8,2500000,1
20.9,2500000,1
21,2500000,1
21.1,2500000,1
21.2,2500000,1
21.3,2500000,1
21.4,2500000,1
21.5,2500000,1
21.6,2500000,1
21.7,2500000,1
21.8,2500000,1
21.9,2500000,1
22,2500000,1
22.1,2500000,1
22.2,2500000,1
22.3,2500000,1
22.4,2500000,1
22.5,2500000,1
22.6,2500000,1
22.7,2500000,1
22.8,2500000,1
22.9,2500000,1
23,2500000,1
23.1,2500000,1
23.2,2500000,1
23.3,2500000,1
23.4,2500000,1
23.5,2500000,1
23.6,2500000,1
23.7,2500000,1
23.8,2500000,1
23.9,2500000,1
24,2500000,1
24.1,2500000,1
24.2,2500000,1
24.3,2500000,1
24.4,2500000,1
24.5,2500000,1
24.6,2500000,1
24.7,2500000,1
