windspeed,power,capfac
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,51.29,0.020516
3.5,56.67545,0.02267018
3.6,62.62637225,0.025050549
3.7,69.20214134,0.027680857
3.8,76.46836618,0.030587346
3.9,84.49754463,0.033799018
4,93.36978681,0.037347915
4.1,103.1736144,0.041269446
4.2,114.0068439,0.045602738
4.3,125.9775626,0.050391025
4.4,139.2052066,0.055682083
4.5,154.41,0.061764
4.6,163.98342,0.065593368
4.7,174.150392,0.069660157
4.8,184.9477163,0.073979087
4.9,196.4144748,0.07856579
5,208.5921722,0.083436869
5.1,221.5248869,0.088609955
5.2,235.2594299,0.094103772
5.3,249.8455145,0.099938206
5.4,265.3359364,0.106134375
5.5,281.7867645,0.112714706
5.6,299.2575439,0.119703018
5.7,323.71,0.129484
5.8,339.8955,0.1359582
5.9,356.890275,0.14275611
6,374.7347888,0.149893916
6.1,393.4715282,0.157388611
6.2,413.1451046,0.165258042
6.3,433.8023598,0.173520944
6.4,455.4924778,0.182196991
6.5,478.2671017,0.191306841
6.6,502.1804568,0.200872183
6.7,527.2894796,0.210915792
6.8,553.6539536,0.221461581
6.9,585.6,0.23424
7,611.952,0.2447808
7.1,639.48984,0.255795936
7.2,668.2668828,0.267306753
7.3,698.3388925,0.279335557
7.4,729.7641427,0.291905657
7.5,762.6035291,0.305041412
7.6,796.9206879,0.318768275
7.7,832.7821189,0.333112848
7.8,870.2573142,0.348102926
7.9,909.4188934,0.363767557
8,960.5,0.3842
8.1,994.1175,0.397647
8.2,1028.911613,0.411564645
8.3,1064.923519,0.425969408
8.4,1102.195842,0.440878337
8.5,1140.772697,0.456309079
8.6,1180.699741,0.472279896
8.7,1222.024232,0.488809693
8.8,1264.79508,0.505918032
8.9,1309.062908,0.523625163
9,1354.88011,0.541952044
9.1,1402.300913,0.560920365
9.2,1463.56,0.585424
9.3,1504.53968,0.601815872
9.4,1546.666791,0.618666716
9.5,1589.973461,0.635989384
9.6,1634.492718,0.653797087
9.7,1680.258514,0.672103406
9.8,1727.305753,0.690922301
9.9,1775.670314,0.710268125
10,1825.389082,0.730155633
10.1,1876.499977,0.750599991
10.2,1929.041976,0.77161679
10.3,2003.6,0.80144
10.4,2039.6648,0.81586592
10.5,2076.378766,0.830551507
10.6,2113.753584,0.845501434
10.7,2151.801149,0.860720459
10.8,2190.533569,0.876213428
10.9,2229.963174,0.891985269
11,2270.102511,0.908041004
11.1,2310.964356,0.924385742
11.2,2352.561714,0.941024686
11.3,2394.907825,0.95796313
11.4,2438.016166,0.975206466
11.5,2500,1
11.6,2500,1
11.7,2500,1
11.8,2500,1
11.9,2500,1
12,2500,1
12.1,2500,1
12.2,2500,1
12.3,2500,1
12.4,2500,1
12.5,2500,1
12.6,2500,1
12.7,2500,1
12.8,2500,1
12.9,2500,1
13,2500,1
13.1,2500,1
13.2,2500,1
13.3,2500,1
13.4,2500,1
13.5,2500,1
13.6,2500,1
13.7,2500,1
13.8,2500,1
13.9,2500,1
14,2500,1
14.1,2500,1
14.2,2500,1
14.3,2500,1
14.4,2500,1
14.5,2500,1
14.6,2500,1
14.7,2500,1
14.8,2500,1
14.9,2500,1
15,2500,1
15.1,2500,1
15.2,2500,1
15.3,2500,1
15.4,2500,1
15.5,2500,1
15.6,2500,1
15.7,2500,1
15.8,2500,1
15.9,2500,1
16,2500,1
16.1,2500,1
16.2,2500,1
16.3,2500,1
16.4,2500,1
16.5,2500,1
16.6,2500,1
16.7,2500,1
16.8,2500,1
16.9,2500,1
17,2500,1
17.1,2500,1
17.2,2500,1
17.3,2500,1
17.4,2500,1
17.5,2500,1
17.6,2500,1
17.7,2500,1
17.8,2500,1
17.9,2500,1
18,2500,1
18.1,2500,1
18.2,2500,1
18.3,2500,1
18.4,2500,1
18.5,2500,1
18.6,2500,1
18.7,2500,1
18.8,2500,1
18.9,2500,1
19,2500,1
19.1,2500,1
19.2,2500,1
19.3,2500,1
19.4,2500,1
19.5,2500,1
19.6,2500,1
19.7,2500,1
19.8,2500,1
19.9,2500,1
20,2500,1
20.1,2500,1
20.2,2500,1
20.3,2500,1
20.4,2500,1
20.5,2500,1
20.6,2500,1
20.7,2500,1
20.8,2500,1
20.9,2500,1
21,2500,1
21.1,2500,1
21.2,2500,1
21.3,2500,1
21.4,2500,1
21.5,2500,1
21.6,2500,1
21.7,2500,1
21.8,2500,1
21.9,2500,1
22,2500,1
22.1,2500,1
22.2,2500,1
22.3,2500,1
22.4,2500,1
22.5,2500,1
22.6,2500,1
22.7,2500,1
22.8,2500,1
22.9,2500,1
23,2500,1
23.1,2500,1
23.2,2500,1
23.3,2500,1
23.4,2500,1
23.5,2500,1
23.6,2500,1
23.7,2500,1
23.8,2500,1
23.9,2500,1
24,2500,1
24.1,2500,1
24.2,2500,1
24.3,2500,1
24.4,2500,1
24.5,2500,1
24.6,2500,1
24.7,2500,1
24.8,2500,1
24.9,2500,1
25,2500,1
25.1,0,0
25.2,0,0
25.3,0,0
25.4,0,0
25.5,0,0
25.6,0,0
25.7,0,0
25.8,0,0
25.9,0,0
26,0,0
26.1,0,0
26.2,0,0
