windspeed,power,capfac
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,62.05,0.02482
3.6,67.6345,0.0270538
3.7,73.721605,0.029488642
3.8,80.35654945,0.03214262
3.9,87.5886389,0.035035456
4,95.4716164,0.038188647
4.1,104.0640619,0.041625625
4.2,113.4298274,0.045371931
4.3,123.6385119,0.049455405
4.4,134.765978,0.053906391
4.5,146.894916,0.058757966
4.6,160.1154584,0.064046183
4.7,175.7,0.07028
4.8,186.242,0.0744968
4.9,197.41652,0.078966608
5,209.2615112,0.083704604
5.1,221.8172019,0.088726881
5.2,235.126234,0.094050494
5.3,249.233808,0.099693523
5.4,264.1878365,0.105675135
5.5,280.0391067,0.112015643
5.6,296.8414531,0.118736581
5.7,314.6519403,0.125860776
5.8,333.5310567,0.133412423
5.9,353.5429201,0.141417168
6,374.7554953,0.149902198
6.1,392.7437591,0.157097504
6.2,411.5954595,0.164638184
6.3,431.3520416,0.172540817
6.4,452.0569396,0.180822776
6.5,473.7556727,0.189502269
6.6,496.495945,0.198598378
6.7,520.3277503,0.2081311
6.8,545.3034823,0.218121393
6.9,571.4780495,0.22859122
7,598.9089959,0.239563598
7.1,627.6566277,0.251062651
7.2,668.12,0.267248
7.3,694.8448,0.27793792
7.4,722.638592,0.289055437
7.5,751.5441357,0.300617654
7.6,781.6059011,0.31264236
7.7,812.8701372,0.325148055
7.8,845.3849426,0.338153977
7.9,879.2003403,0.351680136
8,914.368354,0.365747342
8.1,950.9430881,0.380377235
8.2,988.9808116,0.395592325
8.3,1028.540044,0.411416018
8.4,1095.14,0.438056
8.5,1133.4699,0.45338796
8.6,1173.141347,0.469256539
8.7,1214.201294,0.485680517
8.8,1256.698339,0.502679336
8.9,1300.682781,0.520273112
9,1346.206678,0.538482671
9.1,1393.323912,0.557329565
9.2,1442.090249,0.576836099
9.3,1492.563407,0.597025363
9.4,1544.803127,0.617921251
9.5,1598.871236,0.639548494
9.6,1646,0.6584
9.7,1687.15,0.67486
9.8,1729.32875,0.6917315
9.9,1772.561969,0.709024788
10,1816.876018,0.726750407
10.1,1862.297918,0.744919167
10.2,1908.855366,0.763542147
10.3,1956.576751,0.7826307
10.4,2005.491169,0.802196468
10.5,2055.628449,0.822251379
10.6,2107.01916,0.842807664
10.7,2159.694639,0.863877855
10.8,2201.23,0.880492
10.9,2229.84599,0.891938396
11,2258.833988,0.903533595
11.1,2288.19883,0.915279532
11.2,2317.945414,0.927178166
11.3,2348.078705,0.939231482
11.4,2378.603728,0.951441491
11.5,2409.525577,0.963810231
11.6,2440.849409,0.976339764
11.7,2472.580451,0.989032181
11.8,2500,1
11.9,2500,1
12,2500,1
12.1,2500,1
12.2,2500,1
12.3,2500,1
12.4,2500,1
12.5,2500,1
12.6,2500,1
12.7,2500,1
12.8,2500,1
12.9,2500,1
13,2500,1
13.1,2500,1
13.2,2500,1
13.3,2500,1
13.4,2500,1
13.5,2500,1
13.6,2500,1
13.7,2500,1
13.8,2500,1
13.9,2500,1
14,2500,1
14.1,2500,1
14.2,2500,1
14.3,2500,1
14.4,2500,1
14.5,2500,1
14.6,2500,1
14.7,2500,1
14.8,2500,1
14.9,2500,1
15,2500,1
15.1,2500,1
15.2,2500,1
15.3,2500,1
15.4,2500,1
15.5,2500,1
15.6,2500,1
15.7,2500,1
15.8,2500,1
15.9,2500,1
16,2500,1
16.1,2500,1
16.2,2500,1
16.3,2500,1
16.4,2500,1
16.5,2500,1
16.6,2500,1
16.7,2500,1
16.8,2500,1
16.9,2500,1
17,2500,1
17.1,2500,1
17.2,2500,1
17.3,2500,1
17.4,2500,1
17.5,2500,1
17.6,2500,1
17.7,2500,1
17.8,2500,1
17.9,2500,1
18,2500,1
18.1,2500,1
18.2,2500,1
18.3,2500,1
18.4,2500,1
18.5,2500,1
18.6,2500,1
18.7,2500,1
18.8,2500,1
18.9,2500,1
19,2500,1
19.1,2500,1
19.2,2500,1
19.3,2500,1
19.4,2500,1
19.5,2500,1
19.6,2500,1
19.7,2500,1
19.8,2500,1
19.9,2500,1
20,2500,1
20.1,2500,1
20.2,2500,1
20.3,2500,1
20.4,2500,1
20.5,2500,1
20.6,2500,1
20.7,2500,1
20.8,2500,1
20.9,2500,1
21,2500,1
21.1,2500,1
21.2,2500,1
21.3,2500,1
21.4,2500,1
21.5,2500,1
21.6,2500,1
21.7,2500,1
21.8,2500,1
21.9,2500,1
22,2500,1
22.1,2500,1
22.2,2500,1
22.3,2500,1
22.4,2500,1
22.5,2500,1
22.6,2500,1
22.7,2500,1
22.8,2500,1
22.9,2500,1
23,2500,1
23.1,2500,1
23.2,2500,1
23.3,2500,1
23.4,2500,1
23.5,2500,1
23.6,2500,1
23.7,2500,1
23.8,2500,1
23.9,2500,1
24,2500,1
24.1,2500,1
24.2,2500,1
24.3,2500,1
24.4,2500,1
24.5,2500,1
24.6,2500,1
24.7,2500,1
24.8,2500,1
24.9,2500,1
25,2500,1
25.1,0,0
25.2,0,0
25.3,0,0
25.4,0,0
25.5,0,0
25.6,0,0
25.7,0,0
25.8,0,0
25.9,0,0
26,0,0
26.1,0,0
