windspeed,power,capfac
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0.5,0.033333333
3.2,0.5235,0.0349
3.3,0.5481045,0.0365403
3.4,0.573865412,0.038257694
3.5,0.600837086,0.040055806
3.6,0.629076429,0.041938429
3.7,0.658643021,0.043909535
3.8,0.689599243,0.045973283
3.9,0.722010407,0.048134027
4,0.755944897,0.050396326
4.1,0.791474307,0.052764954
4.2,0.828673599,0.055244907
4.3,0.867621258,0.057841417
4.4,0.908399457,0.060559964
4.5,0.951094232,0.063406282
4.6,0.995795661,0.066386377
4.7,1.042598057,0.069506537
4.8,1.091600166,0.072773344
4.9,1.142905373,0.076193692
5,1.196621926,0.079774795
5.1,1.252863156,0.08352421
5.2,1.311747725,0.087449848
5.3,1.373399868,0.091559991
5.4,1.437949662,0.095863311
5.5,1.505533296,0.100368886
5.6,1.576293361,0.105086224
5.7,1.650379149,0.110025277
5.8,1.727946969,0.115196465
5.9,1.809160476,0.120610698
6,1.894191018,0.126279401
6.1,1.983217996,0.132214533
6.2,2.076429242,0.138428616
6.3,2.174021417,0.144934761
6.4,2.276200423,0.151746695
6.5,2.383181843,0.15887879
6.6,2.49519139,0.166346093
6.7,2.612465385,0.174164359
6.8,2.735251258,0.182350084
6.9,2.863808067,0.190920538
7,2.998407046,0.199893803
7.1,3.139332178,0.209288812
7.2,3.28688079,0.219125386
7.3,3.441364187,0.229424279
7.4,3.603108304,0.24020722
7.5,3.772454394,0.25149696
7.6,3.949759751,0.263317317
7.7,4.135398459,0.275693231
7.8,4.329762186,0.288650812
7.9,4.533261009,0.302217401
8,4.746324277,0.316421618
8.1,4.969401518,0.331293435
8.2,5.202963389,0.346864226
8.3,5.447502668,0.363166845
8.4,5.703535294,0.380235686
8.5,5.971601452,0.398106763
8.6,6.252266721,0.416817781
8.7,6.546123257,0.436408217
8.8,6.85379105,0.456919403
8.9,7.175919229,0.478394615
9,7.513187433,0.500879162
9.1,7.866307242,0.524420483
9.2,8.236023682,0.549068245
9.3,8.623116795,0.574874453
9.4,9.028403285,0.601893552
9.5,9.452738239,0.630182549
9.6,9.897016936,0.659801129
9.7,10.36217673,0.690811782
9.8,10.84919904,0.723279936
9.9,11.35911139,0.757274093
10,11.89298963,0.792865975
10.1,12.45196014,0.830130676
10.2,13.03720227,0.869146818
10.3,13.64995078,0.909996718
10.4,14.29149846,0.952766564
10.5,14.96319889,0.997546593
10.6,15,1
10.7,15,1
10.8,15,1
10.9,15,1
11,15,1
11.1,15,1
11.2,15,1
11.3,15,1
11.4,15,1
11.5,15,1
11.6,15,1
11.7,15,1
11.8,15,1
11.9,15,1
12,15,1
12.1,15,1
12.2,15,1
12.3,15,1
12.4,15,1
12.5,15,1
12.6,15,1
12.7,15,1
12.8,15,1
12.9,15,1
13,15,1
13.1,15,1
13.2,15,1
13.3,15,1
13.4,15,1
13.5,15,1
13.6,15,1
13.7,15,1
13.8,15,1
13.9,15,1
14,15,1
14.1,15,1
14.2,15,1
14.3,15,1
14.4,15,1
14.5,15,1
14.6,15,1
14.7,15,1
14.8,15,1
14.9,15,1
15,15,1
15.1,15,1
15.2,15,1
15.3,15,1
15.4,15,1
15.5,15,1
15.6,15,1
15.7,15,1
15.8,15,1
15.9,15,1
16,15,1
16.1,15,1
16.2,15,1
16.3,15,1
16.4,15,1
16.5,15,1
16.6,15,1
16.7,15,1
16.8,15,1
16.9,15,1
17,15,1
17.1,15,1
17.2,15,1
17.3,15,1
17.4,15,1
17.5,15,1
17.6,15,1
17.7,15,1
17.8,15,1
17.9,15,1
18,15,1
18.1,15,1
18.2,15,1
18.3,15,1
18.4,15,1
18.5,15,1
18.6,15,1
18.7,15,1
18.8,15,1
18.9,15,1
19,15,1
19.1,15,1
19.2,15,1
19.3,15,1
19.4,15,1
19.5,15,1
19.6,15,1
19.7,15,1
19.8,15,1
19.9,15,1
20,15,1
20.1,15,1
20.2,15,1
20.3,15,1
20.4,15,1
20.5,15,1
20.6,15,1
20.7,15,1
20.8,15,1
20.9,15,1
21,15,1
21.1,15,1
21.2,15,1
21.3,15,1
21.4,15,1
21.5,15,1
21.6,15,1
21.7,15,1
21.8,15,1
21.9,15,1
22,15,1
22.1,15,1
22.2,15,1
22.3,15,1
22.4,15,1
22.5,15,1
22.6,15,1
22.7,15,1
22.8,15,1
22.9,15,1
23,15,1
23.1,15,1
23.2,15,1
23.3,15,1
23.4,15,1
23.5,15,1
23.6,15,1
23.7,15,1
23.8,15,1
23.9,15,1
24,15,1
24.1,15,1
24.2,15,1
24.3,15,1
24.4,15,1
24.5,15,1
24.6,15,1
24.7,15,1
24.8,15,1
24.9,15,1
25,15,1
25.1,0,0
25.2,0,0
25.3,0,0
25.4,0,0
25.5,0,0
25.6,0,0
25.7,0,0
25.8,0,0
25.9,0,0
26,0,0
26.1,0,0
26.2,0,0
26.3,0,0
26.4,0,0
26.5,0,0
26.6,0,0
26.7,0,0
26.8,0,0
26.9,0,0
27,0,0
27.1,0,0
27.2,0,0
27.3,0,0
27.4,0,0
27.5,0,0
27.6,0,0
27.7,0,0
27.8,0,0
27.9,0,0
28,0,0
28.1,0,0
28.2,0,0
28.3,0,0
